"name","location","start_date","end_date","draw","matches","surface","prize","score","round","winner","player","player_rank","opponent","opponent_rank","player1","player2","player3","player4","player5","opponent1","opponent2","opponent3","opponent4","opponent5","TBplayer1","TBplayer2","TBplayer3","TBplayer4","TBplayer5","TBopponent1","TBopponent2","TBopponent3","TBopponent4","TBopponent5"
"Barclays ATP World Tour Finals","London, Great Britain",2015-11-16,2015-11-22,8,7,"Indoor Hard","$7000000","63/64","Finals",1,"Novak Djokovic",1,"Roger Federer",3,6,6,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barclays ATP World Tour Finals","London, Great Britain",2015-11-16,2015-11-22,8,7,"Indoor Hard","$7000000","63/63","Semi-Finals",1,"Novak Djokovic",1,"Rafael Nadal",5,6,6,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barclays ATP World Tour Finals","London, Great Britain",2015-11-16,2015-11-22,8,7,"Indoor Hard","$7000000","63/75","Round Robin",1,"Novak Djokovic",1,"Tomas Berdych",6,6,7,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barclays ATP World Tour Finals","London, Great Britain",2015-11-16,2015-11-22,8,7,"Indoor Hard","$7000000","57/26","Round Robin",0,"Novak Djokovic",1,"Roger Federer",3,5,2,NA,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barclays ATP World Tour Finals","London, Great Britain",2015-11-16,2015-11-22,8,7,"Indoor Hard","$7000000","61/61","Round Robin",1,"Novak Djokovic",1,"Kei Nishikori",8,6,6,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Paris","Paris, France",2015-11-02,2015-11-08,48,47,"Indoor Hard","€3830295","62/64","Finals",1,"Novak Djokovic",1,"Andy Murray",3,6,6,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Paris","Paris, France",2015-11-02,2015-11-08,48,47,"Indoor Hard","€3830295","63/36/60","Semi-Finals",1,"Novak Djokovic",1,"Stan Wawrinka",4,6,3,6,NA,NA,3,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Paris","Paris, France",2015-11-02,2015-11-08,48,47,"Indoor Hard","€3830295","76(3)/76(8)","Quarter-Finals",1,"Novak Djokovic",1,"Tomas Berdych",5,7,7,NA,NA,NA,6,6,NA,NA,NA,7,10,NA,NA,NA,3,8,NA,NA,NA
"ATP World Tour Masters 1000 Paris","Paris, France",2015-11-02,2015-11-08,48,47,"Indoor Hard","€3830295","63/75","Round of 16",1,"Novak Djokovic",1,"Gilles Simon",15,6,7,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Paris","Paris, France",2015-11-02,2015-11-08,48,47,"Indoor Hard","€3830295","75/63","Round of 32",1,"Novak Djokovic",1,"Thomaz Bellucci",40,7,6,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Shanghai","Shanghai, China",2015-10-12,2015-10-18,56,55,"Outdoor Hard","$7021335","62/64","Finals",1,"Novak Djokovic",1,"Jo-Wilfried Tsonga",15,6,6,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Shanghai","Shanghai, China",2015-10-12,2015-10-18,56,55,"Outdoor Hard","$7021335","61/63","Semi-Finals",1,"Novak Djokovic",1,"Andy Murray",2,6,6,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Shanghai","Shanghai, China",2015-10-12,2015-10-18,56,55,"Outdoor Hard","$7021335","76(6)/61","Quarter-Finals",1,"Novak Djokovic",1,"Bernard Tomic",20,7,6,NA,NA,NA,6,1,NA,NA,NA,8,NA,NA,NA,NA,6,NA,NA,NA,NA
"ATP World Tour Masters 1000 Shanghai","Shanghai, China",2015-10-12,2015-10-18,56,55,"Outdoor Hard","$7021335","62/63","Round of 16",1,"Novak Djokovic",1,"Feliciano Lopez",17,6,6,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Shanghai","Shanghai, China",2015-10-12,2015-10-18,56,55,"Outdoor Hard","$7021335","62/61","Round of 32",1,"Novak Djokovic",1,"Martin Klizan",44,6,6,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beijing","Beijing, China",2015-10-05,2015-10-11,32,31,"Outdoor Hard","$3944715","62/62","Finals",1,"Novak Djokovic",1,"Rafael Nadal",8,6,6,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beijing","Beijing, China",2015-10-05,2015-10-11,32,31,"Outdoor Hard","$3944715","62/63","Semi-Finals",1,"Novak Djokovic",1,"David Ferrer",7,6,6,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beijing","Beijing, China",2015-10-05,2015-10-11,32,31,"Outdoor Hard","$3944715","62/62","Quarter-Finals",1,"Novak Djokovic",1,"John Isner",13,6,6,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beijing","Beijing, China",2015-10-05,2015-10-11,32,31,"Outdoor Hard","$3944715","62/61","Round of 16",1,"Novak Djokovic",1,"Ze Zhang",219,6,6,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beijing","Beijing, China",2015-10-05,2015-10-11,32,31,"Outdoor Hard","$3944715","61/61","Round of 32",1,"Novak Djokovic",1,"Simone Bolelli",59,6,6,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"US Open","New York, NY, U.S.A.",2015-08-31,2015-09-13,128,127,"Outdoor Hard","$19852700","64/57/64/64","Finals",1,"Novak Djokovic",1,"Roger Federer",2,6,5,6,6,NA,4,7,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"US Open","New York, NY, U.S.A.",2015-08-31,2015-09-13,128,127,"Outdoor Hard","$19852700","60/61/62","Semi-Finals",1,"Novak Djokovic",1,"Marin Cilic",9,6,6,6,NA,NA,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"US Open","New York, NY, U.S.A.",2015-08-31,2015-09-13,128,127,"Outdoor Hard","$19852700","61/36/63/76(2)","Quarter-Finals",1,"Novak Djokovic",1,"Feliciano Lopez",19,6,3,6,7,NA,1,6,3,6,NA,NA,NA,NA,7,NA,NA,NA,NA,2,NA
"US Open","New York, NY, U.S.A.",2015-08-31,2015-09-13,128,127,"Outdoor Hard","$19852700","63/46/64/63","Round of 16",1,"Novak Djokovic",1,"Roberto Bautista Agut",23,6,4,6,6,NA,3,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"US Open","New York, NY, U.S.A.",2015-08-31,2015-09-13,128,127,"Outdoor Hard","$19852700","63/75/75","Round of 32",1,"Novak Djokovic",1,"Andreas Seppi",25,6,7,7,NA,NA,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"US Open","New York, NY, U.S.A.",2015-08-31,2015-09-13,128,127,"Outdoor Hard","$19852700","64/61/62","Round of 64",1,"Novak Djokovic",1,"Andreas Haider-Maurer",52,6,6,6,NA,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"US Open","New York, NY, U.S.A.",2015-08-31,2015-09-13,128,127,"Outdoor Hard","$19852700","61/61/61","Round of 128",1,"Novak Djokovic",1,"Joao Souza",91,6,6,6,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.",2015-08-17,2015-08-23,56,55,"Outdoor Hard","$4457065","67(1)/36","Finals",0,"Novak Djokovic",1,"Roger Federer",3,6,3,NA,NA,NA,7,6,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA
"ATP World Tour Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.",2015-08-17,2015-08-23,56,55,"Outdoor Hard","$4457065","46/76(5)/62","Semi-Finals",1,"Novak Djokovic",1,"Alexandr Dolgopolov",66,4,7,6,NA,NA,6,6,2,NA,NA,NA,7,NA,NA,NA,NA,5,NA,NA,NA
"ATP World Tour Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.",2015-08-17,2015-08-23,56,55,"Outdoor Hard","$4457065","64/61","Quarter-Finals",1,"Novak Djokovic",1,"Stan Wawrinka",5,6,6,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.",2015-08-17,2015-08-23,56,55,"Outdoor Hard","$4457065","64/26/63","Round of 16",1,"Novak Djokovic",1,"David Goffin",14,6,2,6,NA,NA,4,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.",2015-08-17,2015-08-23,56,55,"Outdoor Hard","$4457065","75/62","Round of 32",1,"Novak Djokovic",1,"Benoit Paire",42,7,6,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Canada","Montreal, Canada",2015-08-10,2015-08-16,56,55,"Outdoor Hard","$4178500","46/64/36","Finals",0,"Novak Djokovic",1,"Andy Murray",3,4,6,3,NA,NA,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Canada","Montreal, Canada",2015-08-10,2015-08-16,56,55,"Outdoor Hard","$4178500","64/64","Semi-Finals",1,"Novak Djokovic",1,"Jeremy Chardy",49,6,6,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Canada","Montreal, Canada",2015-08-10,2015-08-16,56,55,"Outdoor Hard","$4178500","57/76(7)/61","Quarter-Finals",1,"Novak Djokovic",1,"Ernests Gulbis",87,5,7,6,NA,NA,7,6,1,NA,NA,NA,9,NA,NA,NA,NA,7,NA,NA,NA
"ATP World Tour Masters 1000 Canada","Montreal, Canada",2015-08-10,2015-08-16,56,55,"Outdoor Hard","$4178500","62/61","Round of 16",1,"Novak Djokovic",1,"Jack Sock",35,6,6,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Canada","Montreal, Canada",2015-08-10,2015-08-16,56,55,"Outdoor Hard","$4178500","63/76(4)","Round of 32",1,"Novak Djokovic",1,"Thomaz Bellucci",33,6,7,NA,NA,NA,3,6,NA,NA,NA,NA,7,NA,NA,NA,NA,4,NA,NA,NA
"Wimbledon","London, Great Britain",2015-06-29,2015-07-12,128,127,"Outdoor Grass","L12568000","76(1)/67(10)/64/63","Finals",1,"Novak Djokovic",1,"Roger Federer",2,7,6,6,6,NA,6,7,4,3,NA,7,10,NA,NA,NA,1,12,NA,NA,NA
"Wimbledon","London, Great Britain",2015-06-29,2015-07-12,128,127,"Outdoor Grass","L12568000","76(2)/64/64","Semi-Finals",1,"Novak Djokovic",1,"Richard Gasquet",20,7,6,6,NA,NA,6,4,4,NA,NA,7,NA,NA,NA,NA,2,NA,NA,NA,NA
"Wimbledon","London, Great Britain",2015-06-29,2015-07-12,128,127,"Outdoor Grass","L12568000","64/64/64","Quarter-Finals",1,"Novak Djokovic",1,"Marin Cilic",9,6,6,6,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wimbledon","London, Great Britain",2015-06-29,2015-07-12,128,127,"Outdoor Grass","L12568000","67(6)/67(6)/61/64/75","Round of 16",1,"Novak Djokovic",1,"Kevin Anderson",14,6,6,6,6,7,7,7,1,4,5,6,6,NA,NA,NA,8,8,NA,NA,NA
"Wimbledon","London, Great Britain",2015-06-29,2015-07-12,128,127,"Outdoor Grass","L12568000","63/63/63","Round of 32",1,"Novak Djokovic",1,"Bernard Tomic",26,6,6,6,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wimbledon","London, Great Britain",2015-06-29,2015-07-12,128,127,"Outdoor Grass","L12568000","64/62/63","Round of 64",1,"Novak Djokovic",1,"Jarkko Nieminen",92,6,6,6,NA,NA,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wimbledon","London, Great Britain",2015-06-29,2015-07-12,128,127,"Outdoor Grass","L12568000","64/64/64","Round of 128",1,"Novak Djokovic",1,"Philipp Kohlschreiber",33,6,6,6,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roland Garros","Paris, France",2015-05-25,2015-06-07,128,127,"Outdoor Clay","€13008000","64/46/36/46","Finals",0,"Novak Djokovic",1,"Stan Wawrinka",9,6,4,3,4,NA,4,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roland Garros","Paris, France",2015-05-25,2015-06-07,128,127,"Outdoor Clay","€13008000","63/63/57/57/61","Semi-Finals",1,"Novak Djokovic",1,"Andy Murray",3,6,6,5,5,6,3,3,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roland Garros","Paris, France",2015-05-25,2015-06-07,128,127,"Outdoor Clay","€13008000","75/63/61","Quarter-Finals",1,"Novak Djokovic",1,"Rafael Nadal",7,7,6,6,NA,NA,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roland Garros","Paris, France",2015-05-25,2015-06-07,128,127,"Outdoor Clay","€13008000","61/62/63","Round of 16",1,"Novak Djokovic",1,"Richard Gasquet",21,6,6,6,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roland Garros","Paris, France",2015-05-25,2015-06-07,128,127,"Outdoor Clay","€13008000","64/64/64","Round of 32",1,"Novak Djokovic",1,"Thanasi Kokkinakis",84,6,6,6,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roland Garros","Paris, France",2015-05-25,2015-06-07,128,127,"Outdoor Clay","€13008000","61/64/64","Round of 64",1,"Novak Djokovic",1,"Gilles Muller",55,6,6,6,NA,NA,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roland Garros","Paris, France",2015-05-25,2015-06-07,128,127,"Outdoor Clay","€13008000","62/75/62","Round of 128",1,"Novak Djokovic",1,"Jarkko Nieminen",87,6,7,6,NA,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Rome","Rome, Italy",2015-05-11,2015-05-17,56,55,"Outdoor Clay","€3830295","64/63","Finals",1,"Novak Djokovic",1,"Roger Federer",2,6,6,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Rome","Rome, Italy",2015-05-11,2015-05-17,56,55,"Outdoor Clay","€3830295","64/64","Semi-Finals",1,"Novak Djokovic",1,"David Ferrer",8,6,6,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Rome","Rome, Italy",2015-05-11,2015-05-17,56,55,"Outdoor Clay","€3830295","63/36/61","Quarter-Finals",1,"Novak Djokovic",1,"Kei Nishikori",6,6,3,6,NA,NA,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Rome","Rome, Italy",2015-05-11,2015-05-17,56,55,"Outdoor Clay","€3830295","57/62/63","Round of 16",1,"Novak Djokovic",1,"Thomaz Bellucci",68,5,6,6,NA,NA,7,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Rome","Rome, Italy",2015-05-11,2015-05-17,56,55,"Outdoor Clay","€3830295","61/67(5)/63","Round of 32",1,"Novak Djokovic",1,"Nicolas Almagro",174,6,6,6,NA,NA,1,7,3,NA,NA,NA,5,NA,NA,NA,NA,7,NA,NA,NA
"ATP World Tour Masters 1000 Monte Carlo","Monte-Carlo, Monaco",2015-04-13,2015-04-19,56,55,"Outdoor Clay","€3624045","75/46/63","Finals",1,"Novak Djokovic",1,"Tomas Berdych",8,7,4,6,NA,NA,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Monte Carlo","Monte-Carlo, Monaco",2015-04-13,2015-04-19,56,55,"Outdoor Clay","€3624045","63/63","Semi-Finals",1,"Novak Djokovic",1,"Rafael Nadal",5,6,6,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Monte Carlo","Monte-Carlo, Monaco",2015-04-13,2015-04-19,56,55,"Outdoor Clay","€3624045","60/63","Quarter-Finals",1,"Novak Djokovic",1,"Marin Cilic",10,6,6,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Monte Carlo","Monte-Carlo, Monaco",2015-04-13,2015-04-19,56,55,"Outdoor Clay","€3624045","64/60","Round of 16",1,"Novak Djokovic",1,"Andreas Haider-Maurer",52,6,6,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Monte Carlo","Monte-Carlo, Monaco",2015-04-13,2015-04-19,56,55,"Outdoor Clay","€3624045","61/64","Round of 32",1,"Novak Djokovic",1,"Albert Ramos-Vinolas",67,6,6,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Miami","Miami, FL, U.S.A.",2015-03-23,2015-04-05,96,95,"Outdoor Hard","$6267755","76(3)/46/60","Finals",1,"Novak Djokovic",1,"Andy Murray",4,7,4,6,NA,NA,6,6,0,NA,NA,7,NA,NA,NA,NA,3,NA,NA,NA,NA
"ATP World Tour Masters 1000 Miami","Miami, FL, U.S.A.",2015-03-23,2015-04-05,96,95,"Outdoor Hard","$6267755","76(3)/62","Semi-Finals",1,"Novak Djokovic",1,"John Isner",24,7,6,NA,NA,NA,6,2,NA,NA,NA,7,NA,NA,NA,NA,3,NA,NA,NA,NA
"ATP World Tour Masters 1000 Miami","Miami, FL, U.S.A.",2015-03-23,2015-04-05,96,95,"Outdoor Hard","$6267755","75/75","Quarter-Finals",1,"Novak Djokovic",1,"David Ferrer",7,7,7,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Miami","Miami, FL, U.S.A.",2015-03-23,2015-04-05,96,95,"Outdoor Hard","$6267755","67(3)/75/60","Round of 16",1,"Novak Djokovic",1,"Alexandr Dolgopolov",65,6,7,6,NA,NA,7,5,0,NA,NA,3,NA,NA,NA,NA,7,NA,NA,NA,NA
"ATP World Tour Masters 1000 Miami","Miami, FL, U.S.A.",2015-03-23,2015-04-05,96,95,"Outdoor Hard","$6267755","60/75","Round of 32",1,"Novak Djokovic",1,"Steve Darcis",84,6,7,NA,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Miami","Miami, FL, U.S.A.",2015-03-23,2015-04-05,96,95,"Outdoor Hard","$6267755","60/57/61","Round of 64",1,"Novak Djokovic",1,"Martin Klizan",41,6,5,6,NA,NA,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.",2015-03-09,2015-03-22,96,95,"Outdoor Hard","$7107445","63/67(5)/62","Finals",1,"Novak Djokovic",1,"Roger Federer",2,6,6,6,NA,NA,3,7,2,NA,NA,NA,5,NA,NA,NA,NA,7,NA,NA,NA
"ATP World Tour Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.",2015-03-09,2015-03-22,96,95,"Outdoor Hard","$7107445","62/63","Semi-Finals",1,"Novak Djokovic",1,"Andy Murray",4,6,6,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.",2015-03-09,2015-03-22,96,95,"Outdoor Hard","$7107445","W/O","Quarter-Finals",1,"Novak Djokovic",1,"Bernard Tomic",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.",2015-03-09,2015-03-22,96,95,"Outdoor Hard","$7107445","64/76(5)","Round of 16",1,"Novak Djokovic",1,"John Isner",20,6,7,NA,NA,NA,4,6,NA,NA,NA,NA,7,NA,NA,NA,NA,5,NA,NA,NA
"ATP World Tour Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.",2015-03-09,2015-03-22,96,95,"Outdoor Hard","$7107445","75/63","Round of 32",1,"Novak Djokovic",1,"Albert Ramos-Vinolas",68,7,6,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP World Tour Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.",2015-03-09,2015-03-22,96,95,"Outdoor Hard","$7107445","61/63","Round of 64",1,"Novak Djokovic",1,"Marcos Baghdatis",61,6,6,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRB vs. CRO WG 1st RD","Kraljevo, Serbia, Serbia",2015-03-02,2015-03-08,4,3,"Indoor Hard",NA,"63/62/64","Round Robin",1,"Novak Djokovic",1,"Mate Delic",158,6,6,6,NA,NA,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dubai","Dubai, U.A.E.",2015-02-23,2015-02-28,32,31,"Outdoor Hard","$2503810","36/57","Finals",0,"Novak Djokovic",1,"Roger Federer",2,3,5,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dubai","Dubai, U.A.E.",2015-02-23,2015-02-28,32,31,"Outdoor Hard","$2503810","60/57/64","Semi-Finals",1,"Novak Djokovic",1,"Tomas Berdych",8,6,5,6,NA,NA,0,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dubai","Dubai, U.A.E.",2015-02-23,2015-02-28,32,31,"Outdoor Hard","$2503810","61/61","Quarter-Finals",1,"Novak Djokovic",1,"Marsel Ilhan",104,6,6,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dubai","Dubai, U.A.E.",2015-02-23,2015-02-28,32,31,"Outdoor Hard","$2503810","61/62","Round of 16",1,"Novak Djokovic",1,"Andrey Golubev",107,6,6,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dubai","Dubai, U.A.E.",2015-02-23,2015-02-28,32,31,"Outdoor Hard","$2503810","64/64","Round of 32",1,"Novak Djokovic",1,"Vasek Pospisil",63,6,6,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australian Open","Melbourne, Australia",2015-01-19,2015-02-01,128,127,"Outdoor Hard","A$17748600","76(5)/67(4)/63/60","Finals",1,"Novak Djokovic",1,"Andy Murray",6,7,6,6,6,NA,6,7,3,0,NA,7,4,NA,NA,NA,5,7,NA,NA,NA
"Australian Open","Melbourne, Australia",2015-01-19,2015-02-01,128,127,"Outdoor Hard","A$17748600","76(1)/36/64/46/60","Semi-Finals",1,"Novak Djokovic",1,"Stan Wawrinka",4,7,3,6,4,6,6,6,4,6,0,7,NA,NA,NA,NA,1,NA,NA,NA,NA
"Australian Open","Melbourne, Australia",2015-01-19,2015-02-01,128,127,"Outdoor Hard","A$17748600","76(5)/64/62","Quarter-Finals",1,"Novak Djokovic",1,"Milos Raonic",8,7,6,6,NA,NA,6,4,2,NA,NA,7,NA,NA,NA,NA,5,NA,NA,NA,NA
"Australian Open","Melbourne, Australia",2015-01-19,2015-02-01,128,127,"Outdoor Hard","A$17748600","64/75/75","Round of 16",1,"Novak Djokovic",1,"Gilles Muller",42,6,7,7,NA,NA,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australian Open","Melbourne, Australia",2015-01-19,2015-02-01,128,127,"Outdoor Hard","A$17748600","76(8)/63/64","Round of 32",1,"Novak Djokovic",1,"Fernando Verdasco",33,7,6,6,NA,NA,6,3,4,NA,NA,10,NA,NA,NA,NA,8,NA,NA,NA,NA
"Australian Open","Melbourne, Australia",2015-01-19,2015-02-01,128,127,"Outdoor Hard","A$17748600","60/61/64","Round of 64",1,"Novak Djokovic",1,"Andrey Kuznetsov",88,6,6,6,NA,NA,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australian Open","Melbourne, Australia",2015-01-19,2015-02-01,128,127,"Outdoor Hard","A$17748600","63/62/64","Round of 128",1,"Novak Djokovic",1,"Aljaz Bedene",116,6,6,6,NA,NA,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doha","Doha, Qatar",2015-01-05,2015-01-10,32,31,"Outdoor Hard","$1221320","76(2)/67(6)/46","Quarter-Finals",0,"Novak Djokovic",1,"Ivo Karlovic",27,7,6,4,NA,NA,6,7,6,NA,NA,7,6,NA,NA,NA,2,8,NA,NA,NA
"Doha","Doha, Qatar",2015-01-05,2015-01-10,32,31,"Outdoor Hard","$1221320","62/61","Round of 16",1,"Novak Djokovic",1,"Sergiy Stakhovsky",57,6,6,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doha","Doha, Qatar",2015-01-05,2015-01-10,32,31,"Outdoor Hard","$1221320","62/61","Round of 32",1,"Novak Djokovic",1,"Dusan Lajovic",68,6,6,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
